tanggal,wilayah,tavg,rh_avg,rr,ff_avg,tavg_imputed,rh_avg_imputed,ff_avg_imputed,rr_imputed,dum_ramadan,dum_idulfitri,dum_natal_newyr,tahun,tavg_flag,rh_avg_flag,ff_avg_flag,imputasi_flag,tavg_final,rh_avg_final,ff_avg_final,kabupaten,kode_wilayah,level_harga,komoditas,harga,harga_imputed
2021-04-17,Kota Bandung,24.2,73.0,17.2,2,24.2,73.0,2,False,0,0,0,2021,False,False,False,False,24.2,73.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-18,Kota Bandung,24.0,79.0,0.0,2,24.0,79.0,2,False,0,0,0,2021,False,False,False,False,24.0,79.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,65000.0,False
2021-04-19,Kota Bandung,24.1,80.0,17.5,2,24.1,80.0,2,False,0,0,0,2021,False,False,False,False,24.1,80.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,False
2021-04-20,Kota Bandung,23.7,74.0,25.6,1,23.7,74.0,1,False,0,0,0,2021,False,False,False,False,23.7,74.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,55000.0,False
2021-04-21,Kota Bandung,23.5,66.0,0.0,2,23.5,66.0,2,False,0,0,0,2021,False,False,False,False,23.5,66.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-04-22,Kota Bandung,23.6,64.0,0.0,2,23.6,64.0,2,False,0,0,0,2021,False,False,False,False,23.6,64.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-04-23,Kota Bandung,23.9,76.0,0.0,2,23.9,76.0,2,False,0,0,0,2021,False,False,False,False,23.9,76.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,45000.0,False
2021-04-24,Kota Bandung,23.7,72.0,0.0,2,23.7,72.0,2,False,0,0,0,2021,False,False,False,False,23.7,72.0,2,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,45000.0,False
2021-04-25,Kota Bandung,23.7,76.0,0.8,1,23.7,76.0,1,False,0,0,0,2021,False,False,False,False,23.7,76.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-04-26,Kota Bandung,24.2,73.0,0.0,1,24.2,73.0,1,False,0,0,0,2021,False,False,False,False,24.2,73.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-04-27,Kota Bandung,24.2,75.0,1.0,3,24.2,75.0,3,False,0,0,0,2021,False,False,False,False,24.2,75.0,3,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,40000.0,False
2021-04-28,Kota Bandung,23.5,82.0,5.0,1,23.5,82.0,1,False,0,0,0,2021,False,False,False,False,23.5,82.0,1,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
2021-04-29,Kota Bandung,23.8,81.0,4.2,0,23.8,81.0,0,False,0,0,0,2021,False,False,False,False,23.8,81.0,0,Kota Bandung,32.73,Konsumen,Cabai Rawit Merah,50000.0,False
